Name,WALS code,ISO 639-3,Genus,Family,Macroarea,Latitude,Longitude,Countries
Aari,aar,aiw,South Omotic,Afro-Asiatic,Africa,6.00,36.58,Ethiopia
Abau,aba,aau,Abau,Sepik,Papunesia,-4.00,141.25,Papua New Guinea
Abaza,abz,abq,Northwest Caucasian,Northwest Caucasian,Eurasia,44.00,42.00,Russia
Abenaki (Western),abw,abe,Algonquian,Algic,North America,44.00,-72.25,CanadaUnited States
Abidji,abd,abi,Agneby,Niger-Congo,Africa,5.67,-4.58,Côte d'Ivoire
Abipón,abi,axb,Abipon,Guaicuruan,South America,-29.00,-61.00,Argentina
Abkhaz,abk,abk,Northwest Caucasian,Northwest Caucasian,Eurasia,43.08,41.00,Georgia
Abui,abv,abz,Alor-Pantar,Greater West Bomberai,Papunesia,-8.25,124.67,Indonesia
Abun,abu,kgr,Abun,Abun,Papunesia,-0.50,132.50,Indonesia
Acehnese,ace,ace,Malayo-Sumbawan,Austronesian,Eurasia,5.50,95.50,Indonesia
Achagua,acg,aca,Japura-Colombia,Arawakan,South America,4.42,-72.25,Colombia
Achang,acn,acn,Burmese-Lolo,Sino-Tibetan,Eurasia,25.00,98.50,ChinaMyanmar
Aché,ach,guq,Maweti-Guarani,Tupian,South America,-25.25,-55.17,Paraguay
Achí,aci,acr,Mayan,Mayan,North America,15.17,-90.50,Guatemala
Acholi,acl,ach,Western Nilotic,Eastern Sudanic,Africa,3.00,32.67,UgandaSouth Sudan
Achuar,acu,acu,Jivaroan,Jivaroan,South America,-2.67,-76.00,Peru
Achumawi,acm,acv,Achumawi,Hokan,North America,41.50,-121.00,United States
Acoma,aco,kjq,Keresan,Keresan,North America,34.92,-107.58,United States
Adamorobe Sign Language,ada,ads,Sign Languages,other,Africa,5.83,-0.17,Ghana
Adang,adg,adn,Alor-Pantar,Greater West Bomberai,Papunesia,-8.20,124.00,Indonesia
Adioukrou,adi,adj,Agneby,Niger-Congo,Africa,5.42,-4.58,Côte d'Ivoire
Adyghe (Abzakh),ady,ady,Northwest Caucasian,Northwest Caucasian,Eurasia,45.23,40.58,Russia
Adyghe (Shapsugh),ash,ady,Northwest Caucasian,Northwest Caucasian,Eurasia,45.00,38.75,Russia
Adyghe (Temirgoy),adt,ady,Northwest Caucasian,Northwest Caucasian,Eurasia,45.22,39.70,Russia
Adynyamathanha,adn,adt,Central Pama-Nyungan,Pama-Nyungan,Australia,-30.50,139.50,Australia
Adzera,adz,adz,Oceanic,Austronesian,Papunesia,-6.25,146.25,Papua New Guinea
Aekyom,awi,awi,Elevala,Kamula-Elevala,Papunesia,-5.75,141.42,Papua New Guinea
Afrikaans,afr,afr,Germanic,Indo-European,Africa,-31.00,22.00,South Africa
Agarabi,aga,agd,Gauwa,Trans-New Guinea,Papunesia,-6.17,146.00,Papua New Guinea
Aghem,agh,agq,Wide Grassfields,Niger-Congo,Africa,6.67,10.00,Cameroon
Aghu,ahu,ahh,Awju,Trans-New Guinea,Papunesia,-6.17,140.17,Indonesia
Aghul,agl,agx,Lezgic,Nakh-Daghestanian,Eurasia,41.75,47.67,Russia
Agta (Central),agc,agt,Greater Central Philippine,Austronesian,Papunesia,17.97,121.83,Philippines
Agta (Dupaningan),agd,duo,Greater Central Philippine,Austronesian,Papunesia,18.00,122.08,Philippines
Aguacatec,agu,agu,Mayan,Mayan,North America,15.42,-91.33,Guatemala
Aguaruna,agr,agr,Jivaroan,Jivaroan,South America,-5.00,-78.00,Peru
Ahtna,aht,aht,Athapaskan,Na-Dene,North America,62.00,-145.00,United States
Aikaná,aik,tba,Aikaná,Aikaná,South America,-12.67,-60.67,Brazil
Ainu,ain,ain,Ainu,Ainu,Eurasia,43.00,143.00,Japan
Aizi,aiz,ahp,Kru,Niger-Congo,Africa,5.25,-4.50,Côte d'Ivoire
Aja,aja,aja,Kresh,Central Sudanic,Africa,7.33,25.67,Central African RepublicSouth Sudan
Ajagbe,ajg,ajg,Gbe,Niger-Congo,Africa,7.00,1.75,BeninTogo
Ajië,aji,aji,Oceanic,Austronesian,Papunesia,-21.33,165.50,New Caledonia
Aka,aka,axk,Bantu,Niger-Congo,Africa,2.67,16.25,Central African RepublicCongo
Aka-Biada,akb,abj,Great Andamanese,Great Andamanese,Eurasia,11.67,92.50,India
Aka-Cari,akc,aci,Great Andamanese,Great Andamanese,Eurasia,13.50,93.00,India
Aka-Kede,akk,akx,Great Andamanese,Great Andamanese,Eurasia,12.75,92.75,India
Akan,akn,aka,Tano,Niger-Congo,Africa,6.50,-1.25,Ghana
Akawaio,akw,ake,Cariban,Cariban,South America,6.00,-59.50,Guyana
Akha,akh,ahk,Burmese-Lolo,Sino-Tibetan,Eurasia,21.83,99.83,ChinaThailandMyanmar
Akhvakh,axv,akv,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.33,46.33,Russia
Aklanon,akl,akl,Greater Central Philippine,Austronesian,Papunesia,11.58,122.33,Philippines
Akwa,awk,akw,Bantu,Niger-Congo,Africa,0.00,16.50,Congo
Ala'ala,all,nrz,Oceanic,Austronesian,Papunesia,-8.92,146.75,Papua New Guinea
Alabama,abm,akz,Muskogean,Muskogean,North America,32.33,-87.42,United States
Alagwa,agw,wbj,Southern Cushitic,Afro-Asiatic,Africa,-5.50,35.75,Tanzania
Alamblak,ala,amp,Sepik Hill,Sepik,Papunesia,-4.67,143.33,Papua New Guinea
Alas,alx,btz,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,3.67,97.83,Indonesia
Alawa,alw,alh,Mara,Mangarrayi-Maran,Australia,-15.17,134.25,Australia
Albanian,alb,sqi,Albanian,Indo-European,Eurasia,41.00,20.00,Serbia and MontenegroAlbania
Aleut,ale,ale,Aleut,Eskimo-Aleut,North America,54.00,-166.00,United States
Aleut (Eastern),aea,ale,Aleut,Eskimo-Aleut,North America,54.75,-164.00,United States
Algonquin,alg,alq,Algonquian,Algic,North America,46.00,-77.00,Canada
Alladian,ald,ald,Avikam-Alladian,Niger-Congo,Africa,5.17,-4.33,Côte d'Ivoire
Allentiac,alc,,Huarpe,Huarpe,South America,-31.00,-68.00,Argentina
Alsatian,alt,gsw,Germanic,Indo-European,Eurasia,48.50,7.50,France
Alsea,als,aes,Alsea,Oregon Coast,North America,44.67,-123.92,United States
Altai (Southern),aso,alt,Turkic,Altaic,Eurasia,51.00,87.00,Russia
